正面,背面,标签
多视图3D检测方法?,"1. 特征变换到BEV<br>2. 注意力融合<br>3. 深度加权<br>DETR3D, BEVFormer",3D视觉::方法
NeRF是什么?,"Neural Radiance Fields<br>5D函数F(x,y,z,θ,φ)→(RGB,σ)<br>体积渲染<br>新颖视图合成",3D视觉::方法
NeRF的渲染公式是什么?,"C(r) = ∫T(t)σ(t)c(t)dt<br>T(t) = exp(-∫σ(s)ds)<br>光线累积<br>可微渲染",3D视觉::公式
NeRF的训练过程?,"1. 采样光线<br>2. 查询网络<br>3. 体积渲染<br>4. 与真实图比较<br>5. 反向传播",3D视觉::方法
Instant-NGP的改进是什么?,"哈希编码<br>小MLP<br>实时训练<br>秒级收敛",3D视觉::方法
什么是3D Gaussian Splatting?,"3D高斯基元<br>光栅化渲染<br>实时高质量<br>可微优化",3D视觉::方法
3DGS的表示优势?,"- 显式表示<br>- 高效光栅化<br>- 质量高<br>- 编辑友好",3D视觉::概念
MVS是什么?,"Multi-View Stereo<br>多视图立体重建<br>稠密点云<br>COLMAP流程",3D视觉::概念
MVSNet的原理?,"3D代价体<br>可微单应性<br>深度回归<br>端到端",3D视觉::方法
什么是代价体?,"匹配代价的3D体<br>深度假设×高×宽<br>匹配质量度量<br>深度推断基础",3D视觉::概念
深度图融合的步骤?,"1. 多视图深度估计<br>2. 一致性检查<br>3. 点云合并<br>4. 网格重建",3D视觉::方法
TSDF是什么?,"Truncated Signed Distance Function<br>截断符号距离<br>体素网格<br>融合多帧",3D视觉::方法
Marching Cubes是什么?,"等值面提取<br>体素→三角网格<br>查表法<br>经典算法",3D视觉::方法
什么是泊松重建?,"Poisson Surface Reconstruction<br>求解泊松方程<br>全局优化<br>光滑表面",3D视觉::方法
网格简化的方法?,"1. QEM (Quadric Error)<br>2. 边折叠<br>3. 顶点聚类<br>LOD生成",3D视觉::方法
纹理映射是什么?,"图像贴到网格<br>UV展开<br>光照一致<br>照片真实感",3D视觉::概念
什么是摄影测量?,"照片→3D模型<br>Structure from Motion<br>商业软件: Metashape<br>文化保护应用",3D视觉::应用
SfM的流程是什么?,"1. 特征提取<br>2. 特征匹配<br>3. 几何验证<br>4. 增量重建<br>5. BA优化",3D视觉::方法
COLMAP是什么?,"开源SfM/MVS工具<br>增量/全局重建<br>GPU加速<br>学术标准",3D视觉::工具
6DoF位姿估计是什么?,"3D旋转+3D平移<br>物体空间定位<br>机器人抓取<br>BOP基准",3D视觉::概念
位姿估计的方法?,"1. PnP求解<br>2. 模板匹配<br>3. 学习方法<br>4. 对称处理",3D视觉::方法
什么是PnP问题?,"Perspective-n-Point<br>已知3D-2D对应<br>估计相机位姿<br>EPnP, DLS求解器",3D视觉::方法
RANSAC在3D视觉中的作用?,"外点剔除<br>鲁棒估计<br>迭代采样<br>基础矩阵/单应性",3D视觉::方法正面,背面,标签
医学影像的主要模态有哪些?,"1. CT (X射线)<br>2. MRI (磁共振)<br>3. 超声<br>4. PET (正电子)<br>5. X-ray",医学影像::概念
CT图像的成像原理?,"X射线衰减<br>Hounsfield单位<br>-1000(空气)到+3000(骨头)<br>密度成像",医学影像::概念
MRI的优势是什么?,"- 无辐射<br>- 软组织对比度高<br>- 多参数成像<br>- 任意方向切片",医学影像::概念
MRI的主要序列?,"T1加权: 解剖结构<br>T2加权: 病变<br>FLAIR: 抑制脑脊液<br>DWI: 扩散成像",医学影像::概念
什么是DICOM格式?,"医学影像标准格式<br>包含元数据<br>患者信息<br>16位深度",医学影像::概念
医学图像预处理步骤?,"1. 去噪<br>2. 偏置场校正(MRI)<br>3. 强度归一化<br>4. 配准<br>5. 重采样",医学影像::方法
什么是偏置场?,"MRI磁场不均匀<br>低频伪影<br>影响分割<br>N4ITK校正",医学影像::概念
N4偏置场校正的原理?,"非参数非均匀强度归一化<br>B样条拟合<br>迭代优化<br>ITK实现",医学影像::方法
医学图像分割的挑战?,"- 边界模糊<br>- 类别不平衡<br>- 标注昂贵<br>- 个体差异大",医学影像::概念
U-Net在医学分割的成功原因?,"- 数据效率高<br>- 跳跃连接保留细节<br>- 端到端训练<br>- 小数据集友好",医学影像::方法
什么是nnU-Net?,"No New U-Net<br>自动配置网络<br>数据自适应预处理<br>医学分割SOTA",医学影像::方法
nnU-Net的关键配置?,"1. 网络拓扑<br>2. Batch大小<br>3. 优化器<br>4. 数据增强<br>5. 推理策略",医学影像::方法
3D医学分割的网络?,"3D U-Net<br>V-Net<br>nnU-Net 3D<br>体素级预测",医学影像::方法
什么是级联分割?,"粗到细策略<br>第一阶段: ROI定位<br>第二阶段: 精细分割<br>减少计算",医学影像::方法
多尺度特征融合方法?,"1. FPN<br>2. UNet++<br>3. Attention Gate<br>4. Deep Supervision",医学影像::方法
什么是Deep Supervision?,"多层输出监督<br>加速收敛<br>梯度流改善<br>中间层正则化",医学影像::方法
医学图像的类别不平衡如何处理?,"1. 加权损失<br>2. Dice损失<br>3. 过采样<br>4. 数据增强",医学影像::方法
医学图像数据增强策略?,"1. 几何变换<br>2. 弹性变形<br>3. 强度变换<br>4. Mixup/CutMix",医学影像::方法
什么是弹性变形?,"模拟器官形变<br>位移场插值<br>数据增强<br>生物组织特性",医学影像::方法
测试时增强(TTA)是什么?,"多次预测取平均<br>提高鲁棒性<br>旋转/翻转<br>集成思想",医学影像::方法
什么是半监督分割?,"少量标注+大量无标注<br>一致性正则<br>伪标签<br>Mean Teacher",医学影像::方法
自训练的流程?,"1. 标注数据训练初始模型<br>2. 预测无标注数据<br>3. 选择高置信样本<br>4. 加入训练集",医学影像::方法
对比学习在医学影像的应用?,"学习表征<br>无监督预训练<br>下游任务微调<br>SimCLR, MoCo",医学影像::方法
域适应的医学应用?,"多中心数据<br>设备差异<br>对抗训练<br>特征对齐",医学影像::方法
什么是联邦学习?,"隐私保护<br>数据不动模型动<br>多方协作<br>医学数据敏感",医学影像::方法
医学图像配准的目标?,"对齐解剖结构<br>单模态/多模态<br>刚性/非刚性<br>Atlas配准",医学影像::概念
VoxelMorph的原理?,"学习的变形场<br>UNet预测位移<br>空间变换层<br>无监督配准",医学影像::方法
SyN配准是什么?,"Symmetric Normalization<br>Diffeomorphic<br>可逆<br>ANTs工具",医学影像::方法
什么是Diffeomorphic配准?,"可微同胚<br>拓扑保持<br>可逆变换<br>平滑变形场",医学影像::概念
CT图像重建方法?,"1. 滤波反投影(FBP)<br>2. 迭代重建<br>3. 深度学习重建<br>4. 压缩感知",医学影像::方法
什么是迭代重建?,"优化问题求解<br>正则化约束<br>降低剂量<br>计算量大",医学影像::方法
低剂量CT去噪?,"剂量降低→噪声增加<br>TV正则化<br>深度学习方法<br>保持诊断质量",医学影像::应用
MRI加速采集的方法?,"1. 并行成像<br>2. 压缩感知<br>3. 深度学习重建<br>4. k空间欠采样",医学影像::方法
什么是k空间?,"傅里叶空间<br>MRI原始数据<br>欠采样加速<br>零填充插值",医学影像::概念
压缩感知MRI?,"稀疏变换<br>TV正则化<br>非线性重建<br>欠采样恢复",医学影像::方法
深度学习MRI重建?,"端到端网络<br>数据驱动先验<br>unrolled优化<br>U-Net/VarNet",医学影像::方法
什么是器官分割?,"提取特定器官区域<br>体积测量<br>手术规划<br>放疗靶区",医学影像::应用
脑肿瘤分割的挑战?,"- 边界不规则<br>- 水肿区<br>- 多模态融合<br>- 分级差异",医学影像::概念
BraTS数据集是什么?,"脑肿瘤分割挑战<br>多模态MRI<br>像素级标注<br>年度比赛",医学影像::资源
心脏分割的应用?,"1. 心功能评估<br>2. 心室体积<br>3. 射血分数<br>4. 形态分析",医学影像::应用
什么是血管分割?,"提取血管结构<br>管状结构检测<br>拓扑保持<br>MRA/CTA",医学影像::应用
肺部结节检测流程?,"1. 肺实质分割<br>2. 候选检测<br>3. 假阳性剔除<br>4. 分类",医学影像::应用
LUNA16数据集是什么?,"肺结节检测挑战<br>CT扫描<br>结节标注<br>评估指标:CPM",医学影像::资源
病理图像分析的特点?,"- 超大图像(10亿像素)<br>- 多尺度<br>- 颜色归一化<br>- 弱监督",医学影像::概念
WSI处理的策略?,"1. 切片<br>2. 多尺度金字塔<br>3. 流式读取<br>4. 空间索引",医学影像::方法
什么是注意力机制在医学分割的应用?,"聚焦病灶<br>抑制背景<br>Squeeze-Excitation<br>CBAM",医学影像::方法
Transformer在医学影像的应用?,"Swin-UNet<br>TransUNet<br>全局上下文<br>长程依赖",医学影像::方法
模型不确定性估计?,"Monte Carlo Dropout<br>Deep Ensemble<br>贝叶斯神经网络<br>临床决策支持",医学影像::方法
医学AI的评估指标?,"1. Dice系数<br>2. Hausdorff距离<br>3. 表面距离<br>4. 临床指标",医学影像::概念
Dice系数的计算公式?,"Dice = 2|X∩Y|/(|X|+|Y|)<br>重叠度量<br>0-1范围<br>1为完美匹配",医学影像::公式
Hausdorff距离是什么?,"h(A,B) = max(min d(a,b))<br>最远点距离<br>边界精度<br>对离群点敏感",医学影像::概念
医学AI临床部署的挑战?,"1. 监管审批<br>2. 可解释性<br>3. 泛化能力<br>4. 工作流集成",医学影像::概念
FDA批准的AI诊断工具有哪些?,"IDx-DR: 糖尿病视网膜病变<br>Lung Cancer Alert<br>Cardiologs: 心电图<br>越来越多",医学影像::应用正面,背面,标签
深度学习的三要素是什么?,"数据、模型、算力<br>大量标注数据<br>深度神经网络<br>GPU加速训练",深度学习::概念
反向传播的原理是什么?,"链式法则<br>梯度从输出层传回输入层<br>计算每个参数的梯度<br>更新权重",深度学习::概念
什么是梯度消失问题?,"激活函数梯度<1<br>深层网络梯度指数衰减<br>浅层几乎不更新<br>Sigmoid常见",深度学习::概念
如何缓解梯度消失?,"1. ReLU激活<br>2. 残差连接<br>3. BatchNorm<br>4. 合适初始化",深度学习::方法
什么是梯度爆炸?,"梯度>1<br>参数指数增长<br>NaN值<br>梯度裁剪解决",深度学习::概念
BatchNorm的作用是什么?,"标准化每层输入<br>加速收敛<br>允许大学习率<br>正则化效果",深度学习::方法
BatchNorm的训练/测试区别?,"训练: 使用当前batch统计<br>测试: 使用running统计<br>running_mean/var<br>移动平均",深度学习::概念
LayerNorm vs BatchNorm?,"LayerNorm: 样本维度归一化<br>BatchNorm: 特征维度归一化<br>LN适合序列数据<br>BN适合图像",深度学习::对比
Dropout的原理是什么?,"随机失活神经元<br>训练时p概率置零<br>测试时缩放<br>防止过拟合",深度学习::方法
Dropout的测试行为?,"输出乘以(1-p)<br>或训练时/ (1-p)<br>Inverted Dropout<br>期望一致",深度学习::概念
什么是残差连接?,"y = F(x) + x<br>跳跃连接<br>梯度直通<br>允许超深网络",深度学习::方法
ResNet解决了什么问题?,"- 梯度消失<br>- 退化问题<br>- 深度增加但性能下降<br>恒等映射学习",深度学习::概念
什么是Adam优化器?,"自适应学习率<br>动量+RMSprop<br>m_t, v_t<br>β₁=0.9, β₂=0.999",深度学习::方法
Adam的更新公式?,"m_t = β₁m_{t-1} + (1-β₁)g_t<br>v_t = β₂v_{t-1} + (1-β₂)g_t²<br>θ_t = θ_{t-1} - α·m̂_t/√v̂_t",深度学习::公式
学习率调度的方法?,"1. Step decay<br>2. Cosine annealing<br>3. Warmup<br>4. Reduce on plateau",深度学习::方法
什么是学习率Warmup?,"初始小学习率<br>逐步增加到目标值<br>稳定初始训练<br>Transformer常用",深度学习::方法
权重衰减是什么?,"L2正则化<br>loss + λ||w||²<br>防止过拟合<br>权重衰减=正则化梯度",深度学习::概念
AdamW与Adam的区别?,"AdamW: 解耦权重衰减<br>Adam: L2正则化混入梯度<br>AdamW泛化更好<br>Transformer标配",深度学习::对比
什么是Early Stopping?,"验证集性能停止改善时停止<br>防止过拟合<br>保存最佳模型<br>patience参数",深度学习::方法
数据增强的作用是什么?,"增加数据多样性<br>防止过拟合<br>提高泛化<br>模拟真实变化",深度学习::概念
图像数据增强方法?,"1. 几何: 旋转、翻转、缩放<br>2. 颜色: 亮度、对比度<br>3. Mixup<br>4. CutMix<br>5. AutoAugment",深度学习::方法
什么是Mixup?,"混合两张图像<br>x = λx₁ + (1-λ)x₂<br>y = λy₁ + (1-λ)y₂<br>标签平滑效果",深度学习::方法
CutMix的原理?,"裁剪并粘贴区域<br>x = M⊙x₁ + (1-M)⊙x₂<br>保留局部特征<br>比Mixup更自然",深度学习::方法
什么是迁移学习?,"预训练+微调<br>利用大规模数据知识<br>小数据集有效<br>领域适应",深度学习::方法
迁移学习的策略?,"1. 特征提取<br>2. 微调<br>3. 渐进解冻<br>4. 差异学习率",深度学习::方法
什么是知识蒸馏?,"Teacher→Student<br>软标签<br>温度参数<br>模型压缩",深度学习::方法
蒸馏的损失函数?,"L = αL_hard + (1-α)L_soft<br>L_soft: KL散度<br>T控制软度<br>暗知识传递",深度学习::公式
自监督学习是什么?,"无标注数据预训练<br>设计前置任务<br>学习通用表征<br>下游任务微调",深度学习::概念
对比学习的前置任务?,"1. SimCLR: 对比损失<br>2. MoCo: 动量编码器<br>3. BYOL: 无负样本<br>4. SimSiam: 停止梯度",深度学习::方法
SimCLR的原理?,"同一图像两个增强视图<br>拉近正样本，推开负样本<br>InfoNCE损失<br>大批量",深度学习::方法
MAE是什么?,"Masked Autoencoder<br>遮挡图像块<br>重建缺失部分<br>ViT预训练",深度学习::方法
什么是注意力机制?,"动态权重分配<br>Query-Key-Value<br>加权求和<br>关注重要区域",深度学习::概念
Self-Attention的计算公式?,"Attention(Q,K,V) = softmax(QK^T/√d)V<br>Q=XW_Q, K=XW_K, V=XW_V<br>d_k缩放防止梯度消失",深度学习::公式
Multi-Head Attention是什么?,"多个注意力头并行<br>捕获不同关系<br>拼接+线性<br>h=8典型值",深度学习::方法
Transformer的优势?,"- 并行计算<br>- 长程依赖<br>- 可扩展<br>- 通用架构",深度学习::概念
位置编码的作用?,"注入位置信息<br>Transformer无顺序概念<br>正弦编码/可学习编码<br>相对位置编码",深度学习::方法
ViT的原理?,"图像分块→序列<br>线性投影<br>Transformer编码器<br>分类token",深度学习::方法
Swin Transformer的特点?,"层级结构<br>滑动窗口注意力<br>线性复杂度<br>多尺度特征",深度学习::方法
什么是BERT?,"双向Transformer编码器<br>MLM预训练<br>NSP任务<br>NLP预训练模型",深度学习::方法
GPT的特点?,"单向Transformer<br>自回归生成<br>大规模预训练<br>零样本能力",深度学习::方法
什么是生成对抗网络?,"Generator vs Discriminator<br>博弈训练<br>G生成假样本<br>D判断真假",深度学习::方法
GAN的损失函数?,"min_G max_D V(D,G)<br>V = E[log D(x)] + E[log(1-D(G(z)))]<br>纳什均衡",深度学习::公式
GAN训练不稳定的原因?,"- 模式崩塌<br>- 梯度消失<br>- 非凸博弈<br>- 超参数敏感",深度学习::概念
如何稳定GAN训练?,"1. Wasserstein GAN<br>2. Spectral Normalization<br>3. Progressive Growing<br>4. 特征匹配",深度学习::方法
什么是WGAN?,"Wasserstein距离<br>推土机距离<br>梯度有意义<br>Lipschitz约束",深度学习::方法
StyleGAN的创新点?,"风格注入<br>AdaIN<br>渐进生成<br>高质量人脸",深度学习::方法
Diffusion Model的原理?,"前向加噪→逆向去噪<br>学习噪声预测<br>逐步恢复<br>DDPM, DDIM",深度学习::方法
DDPM的训练目标?,"预测噪声ε<br>L = E[||ε - ε_θ(x_t, t)||²]<br>t时刻噪声<br>网络学习去噪",深度学习::公式
Stable Diffusion是什么?,"Latent Diffusion<br>潜空间扩散<br>降低计算量<br>文生图SOTA",深度学习::方法
CLIP是什么?,"Contrastive Language-Image Pre-training<br>图文对齐<br>零样本分类<br>多模态理解",深度学习::方法
CLIP的训练方式?,"图像编码器+文本编码器<br>对比损失<br>N×N相似度矩阵<br>对角线最大化",深度学习::方法
什么是提示学习?,"Prompt Tuning<br>调整输入模板<br>冻结模型<br>参数高效",深度学习::方法
LoRA是什么?,"Low-Rank Adaptation<br>低秩分解<br>只训练少量参数<br>微调大模型",深度学习::方法
PEFT方法有哪些?,"1. LoRA<br>2. Adapter<br>3. Prefix Tuning<br>4. BitFit",深度学习::方法
模型量化的原理?,"FP32→INT8<br>减少存储和计算<br>精度损失权衡<br>PTQ/QAT",深度学习::方法
什么是剪枝?,"移除不重要权重<br>结构化/非结构化<br>稀疏模型<br>加速推理",深度学习::方法
知识图谱与深度学习的结合?,"图神经网络<br>实体/关系嵌入<br>多跳推理<br>可解释性",深度学习::应用正面,背面,标签
Xiaohao Cai的主要研究方向?,"1. 变分方法与PDE<br>2. 图像分割<br>3. 张量分解<br>4. 3D视觉<br>5. 医学影像分析",研究综合::概述
变分方法与深度学习的结合点?,"- 正则化网络<br>- Plug-and-Play先验<br>- 深度展开网络<br>- 可解释AI",研究综合::交叉
什么是深度展开网络?,"Unrolling iterative algorithm<br>迭代变分算法展开为网络层<br>LISTA, ADMM-Net<br>可解释+可学习",研究综合::方法
TV正则化的深度学习版本?,"1. 学习化TV参数<br>2. 各向异性TV网络<br>3. TGV网络<br>4. 非局部TV网络",研究综合::交叉
什么是Plug-and-Play先验?,"PnP: 用去噪器作为先验<br>替代显式正则项<br>ADMM框架<br>预训练网络可插入",研究综合::方法
图像分割的发展脉络?,"阈值→区域→边缘→能量→图→深度学习<br>从简单到复杂<br>从手工到学习<br>性能持续提升",研究综合::脉络
传统分割vs深度学习分割?,"传统: 可解释，数据少，调参难<br>深度: 黑盒，数据多，端到端<br>传统理论支撑强<br>深度性能上限高",研究综合::对比
张量分解在高维数据的优势?,"- 捕获多模态相关性<br>- 参数效率高<br>- 避免维度灾难<br>- 结构化表示",研究综合::优势
张量网络与深度学习的联系?,"- 权重张量化<br>- TT层<br>- 压缩神经网络<br>- 理论分析工具",研究综合::交叉
3D视觉的核心问题?,"1. 从2D到3D的映射<br>2. 多视图一致性<br>3. 遮挡处理<br>4. 尺度恢复",研究综合::概念
NeRF与传统重建的对比?,"传统: 显式几何(网格/点云)<br>NeRF: 隐式神经表示<br>传统需要后处理<br>NeRF端到端优化",研究综合::对比
医学影像AI的伦理考量?,"- 数据隐私<br>- 算法公平性<br>- 可解释性<br>- 责任归属",研究综合::伦理
医学AI临床落地的关键?,"1. 鲁棒性<br>2. 可解释性<br>3. 监管合规<br>4. 工作流整合",研究综合::应用
变分方法的理论基础?,"- 凸分析<br>- 泛函分析<br>- PDE理论<br>- 数值优化",研究综合::理论
如何评估图像处理算法?,"1. 客观指标(PSNR, SSIM)<br>2. 主观评估<br>3. 下游任务性能<br>4. 计算效率",研究综合::评估
PSNR的计算公式?,"PSNR = 10·log₁₀(MAX²/MSE)<br>MAX: 像素最大值<br>MSE: 均方误差<br>单位: dB",研究综合::公式
SSIM测量什么?,"结构相似性<br>亮度+对比度+结构<br>0-1范围<br>更符合人眼感知",研究综合::概念
什么是无参考图像质量评估?,"No-Reference IQA<br>无需原始图像<br>自然场景统计<br>盲评估",研究综合::概念
图像处理中的病态问题?,"不适定问题<br>解不唯一/不连续依赖数据<br>需要正则化<br>逆问题典型",研究综合::概念
正则化的作用是什么?,"引入先验<br>约束解空间<br>改善条件数<br>平衡拟合与复杂度",研究综合::概念
L1正则vs L2正则?,"L1: 稀疏解，特征选择<br>L2: 平滑解，权重衰减<br>L1非光滑<br>L2可微",研究综合::对比
压缩感知的核心思想?,"稀疏信号可从少量测量恢复<br>低于Nyquist采样<br>L1最小化<br>应用广泛",研究综合::概念
压缩感知的条件?,"1. 信号稀疏<br>2. 测量矩阵满足RIP<br>3. 优化算法<br>理论保证",研究综合::概念
RIP是什么?,"Restricted Isometry Property<br>限制等距性质<br>保持稀疏信号的几何<br>测量矩阵质量指标",研究综合::概念
图像修复的常用方法?,"1. 变分方法(TV)<br>2. 稀疏表示<br>3. 低秩矩阵<br>4. 深度学习",研究综合::方法
稀疏表示的原理?,"信号 = 字典 × 稀疏系数<br>过完备字典<br>L0/L1优化<br>OMP算法",研究综合::方法
低秩矩阵补全?,"矩阵秩最小化<br>核范数松弛<br>SVD分解<br>Netflix推荐",研究综合::方法
字典学习是什么?,"学习过完备基<br>K-SVD算法<br>自适应稀疏表示<br>去噪/修复应用",研究综合::方法
多尺度分析的意义?,"捕获不同尺度特征<br>金字塔表示<br>小波变换<br>从粗到细策略",研究综合::概念
小波变换的优势?,"- 时频局部化<br>- 多分辨率<br>- 稀疏表示<br>- 快速算法",研究综合::概念
图像金字塔类型?,"1. 高斯金字塔<br>2. 拉普拉斯金字塔<br>3. 小波金字塔<br>4. 深度特征金字塔",研究综合::概念
什么是特征提取?,"从原始数据提取有用信息<br>降维<br>手工/学习特征<br>下游任务输入",研究综合::概念
传统图像特征有哪些?,"1. SIFT<br>2. HOG<br>3. LBP<br>4. Haar<br>5. SURF",研究综合::概念
深度特征的优势?,"- 端到端学习<br>- 层次化表示<br>- 任务优化<br>- 大规模数据驱动",研究综合::对比
什么是迁移学习?,"源域知识迁移到目标域<br>预训练+微调<br>小数据场景<br>领域自适应",研究综合::概念
领域自适应的类型?,"1. 无监督DA<br>2. 半监督DA<br>3. 多源DA<br>4. 目标域有少量标签",研究综合::概念
对抗性领域自适应?,"域对抗训练<br>DANN<br>特征分布对齐<br>梯度反转层",研究综合::方法
什么是元学习?,"学习如何学习<br>少量样本适应<br>MAML, Prototypical Networks<br>通用学习算法",研究综合::概念
元学习的应用场景?,"- 小样本学习<br>- 快速适应新任务<br>- 超参数优化<br>- 神经架构搜索",研究综合::应用
神经网络架构搜索(NAS)?,"自动设计网络结构<br>搜索空间+策略+评估<br>DARTS, ENAS<br>计算昂贵",研究综合::方法
什么是AutoML?,"自动化机器学习<br>特征工程+模型选择+超参优化<br>降低门槛<br>Auto-sklearn, TPOT",研究综合::概念
可解释AI的重要性?,"- 信任建立<br>- 错误诊断<br>- 合规要求<br>- 科学理解",研究综合::概念
可解释性方法分类?,"1. 事后解释(LIME, SHAP)<br>2. 内在可解释(决策树)<br>3. 全局vs局部<br>4. 模型无关vs特定",研究综合::概念
注意力图作为解释?,"可视化注意力权重<br>突出重要区域<br>直观但可能误导<br>不是完整解释",研究综合::方法
什么是因果推理?,"超越相关性<br>因果关系推断<br>干预和反事实<br>更稳健决策",研究综合::概念
因果性vs相关性?,"相关性: X和Y一起变化<br>因果性: X导致Y<br>机器学习侧重相关性<br>因果推理探索机制",研究综合::对比
研究方法论的关键步骤?,"1. 问题定义<br>2. 文献调研<br>3. 方法设计<br>4. 实验验证<br>5. 论文撰写",研究综合::方法
如何设计对比实验?,"- 公平对比(相同设置)<br>- 消融实验<br>- 多数据集<br>- 统计显著性",研究综合::方法
消融实验的作用?,"验证各组件贡献<br>找出关键设计<br>逐一移除/替换<br>理解模型",研究综合::概念
如何阅读学术论文?,"1. 标题摘要速览<br>2. 图表先行<br>3. 方法核心<br>4. 实验验证<br>5. 批判思考",研究综合::方法
如何撰写论文?,"1. 明确贡献<br>2. 逻辑清晰<br>3. 图表辅助<br>4. 实验充分<br>5. 反复修改",研究综合::方法
开源代码的意义?,"- 可复现<br>- 社区贡献<br>- 影响力<br>- 协作基础",研究综合::概念
研究趋势预测方法?,"1. 追踪顶会<br>2. 工业界需求<br>3. 技术瓶颈<br>4. 跨领域借鉴",研究综合::方法
跨学科研究的价值?,"- 新视角<br>- 方法迁移<br>- 突破瓶颈<br>- 创新源泉",研究综合::概念
学术交流的形式?,"1. 会议报告<br>2. 论文合作<br>3. 访问交流<br>4. 社交媒体",研究综合::方法
如何选择研究方向?,"1. 兴趣驱动<br>2. 社会需求<br>3. 可行性<br>4. 竞争格局<br>5. 长期价值",研究综合::方法
研究中的失败如何处理?,"- 分析原因<br>- 调整方向<br>- 积累经验<br>- 换角度思考",研究综合::方法
终身学习的重要性?,"技术快速迭代<br>持续更新知识<br>保持竞争力<br>适应变化",研究综合::概念
如何保持研究动力?,"1. 好奇心<br>2. 社会影响<br>3. 同行交流<br>4. 小目标激励<br>5. 平衡工作生活",研究综合::方法
